Question,Numbers,Equation,Answer,group_nums,Body,Ques,Type,Variation Type,id
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",[25. 17. 10.],['-' '+' 'number0' 'number1' 'number2'],32.0,[ 3  4  5  7  8  9 18 19 20 30 31 32],"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit ,",how many extra did the cafeteria end up with ?,,,84
Mandy made an apple pie . She used number0 tablespoon of cinnamon and number1 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,[0.66666667 0.5       ],['-' 'number0' 'number1'],0.16666666666666666,[ 7  8  9 12 13 14 24 25 26],Mandy made an apple pie . She used number0 tablespoon of cinnamon and number1 tablespoon of nutmeg .,How much more cinnamon than nutmeg did Mandy use ?,,,85
"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",[4. 4.],['+' 'number0' 'number0'],8.0,[ 1  2  3  6  7  8 23 24 25],"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget ,",how many Skittles will Bridget have ?,,,86
"A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars . Find the amount of profit based on the selling price .",[44. 55.],['-' 'number1' 'number0'],11.0,[ 4  5  6 13 14 15 24 25 26],"A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars .",Find the amount of profit based on the selling price .,,,87
"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?",[5. 9.],['*' 'number0' 'number1'],45.0,[ 2  3  4  9 10 11 18 19 20],"Each child has number0 bottle caps . If there are number1 children ,",how many bottle caps are there in total ?,,,88
"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",[3. 5. 3.],['*' 'number0' '+' 'number0' 'number1'],24.0,[ 7  8  9 15 16 17 28 29 30 34 35 36],"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,,89
"At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow . How much more snow did Mrs. Hilt 's house have ?",[29. 17.],['-' 'number0' 'number1'],12.0,[ 7  8  9 17 18 19 32 33 34],"At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow .",How much more snow did Mrs. Hilt 's house have ?,,,90
At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams how many people would be on each team ?,[ 9. 15.  8.],['/' '+' 'number0' 'number1' 'number2'],3.0,[ 3  4  5  6  7  8 20 21 22 28 29 30],At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams,how many people would be on each team ?,,,91
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",[7. 2. 7.],['*' 'number0' '+' 'number0' 'number1'],63.0,[ 1  2  3  9 10 11 20 21 22 28 29 30],"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?,,,92
Anna starts with number0 candies . She gets number1 more from Larry . How many candies does Anna end with ?,[ 5. 86.],['+' 'number0' 'number1'],91.0,[ 2  3  4  7  8  9 17 18 19],Anna starts with number0 candies . She gets number1 more from Larry .,How many candies does Anna end with ?,,,93
"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?",[4. 9. 5.],['*' 'number0' '-' 'number1' 'number2'],16.0,[ 2  3  4 11 12 13 19 20 21 30 31 32],"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?,,,94
Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many . How many bees did she see on the second day ?,[144.   3.],['*' 'number0' 'number1'],432.0,[ 2  3  4 13 14 15 26 27 28],Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many .,How many bees did she see on the second day ?,,,95
"Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars . How many red balloons do they have in all ?",[10. 46. 16. 10.],['+' '+' 'number0' 'number1' 'number2'],72.0,[ 1  2  3  7  8  9 14 15 16 21 22 23 31 32 33],"Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars .",How many red balloons do they have in all ?,,,96
Evelyn starts with number0 Skittles . She shares number1 with Christine . How many Skittles does Evelyn end with ?,[76. 72.],['-' 'number0' 'number1'],4.0,[ 2  3  4  7  8  9 16 17 18],Evelyn starts with number0 Skittles . She shares number1 with Christine .,How many Skittles does Evelyn end with ?,,,97
A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end . How long is the piece of wood now ?,[8.9 2.3],['-' 'number0' 'number1'],6.6,[ 8  9 10 15 16 17 27 28 29],A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end .,How long is the piece of wood now ?,,,98
A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,[34. 20. 13.],['-' '+' 'number0' 'number2' 'number1'],27.0,[ 2  3  4 12 13 14 19 20 21 30 31 32],A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?,,,99
Tim has number0 books . Mike has number1 books . How many books do they have together ?,[22. 20.],['+' 'number0' 'number1'],42.0,[ 1  2  3  6  7  8 16 17 18],Tim has number0 books . Mike has number1 books .,How many books do they have together ?,,,100
Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,[7. 8. 4.],['+' '+' 'number0' 'number1' 'number2'],19.0,[ 1  2  3 11 12 13 18 19 20 26 27 28],Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes .,How many dimes does Melanie have now ?,,,101
A car traveled number0 kilometers in number1 hours . What was its average speed ?,[715.  11.],['/' 'number0' 'number1'],65.0,[ 2  3  4  5  6  7 11 12 13],A car traveled number0 kilometers in number1 hours .,What was its average speed ?,,,102
There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,[7. 3. 2.],['+' '+' 'number0' 'number1' 'number2'],12.0,[ 1  2  3 13 14 15 18 19 20 34 35 36],There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?,,,103
There are number0 bottle caps in each box . How many bottle caps are in number1 boxes ?,[9. 6.],['*' 'number0' 'number1'],54.0,[ 1  2  3 14 15 16 14 15 16],There are number0 bottle caps in each box .,How many bottle caps are in number1 boxes ?,,,104
"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",[9. 3. 5.],['*' 'number0' '+' 'number1' 'number2'],72.0,[13 14 15 21 22 23 27 28 29 38 39 40],"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,,105
"Megan was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",[7. 8. 2.],['*' 'number0' '+' 'number1' 'number2'],70.0,[13 14 15 21 22 23 27 28 29 38 39 40],"Megan was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,,106
"Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",[0.25 0.25],['+' 'number0' 'number0'],0.5,[ 1  2  3 16 17 18 33 34 35],"Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds .",How many cups of nuts did Karen put in the trail mix in all ?,,,107
There are number0 scissors and number1 pencils in the drawer . Dan placed number2 scissors in the drawer . How many scissors are now there in total ?,[39. 22. 13.],['+' 'number0' 'number2'],52.0,[ 1  2  3  4  5  6 12 13 14 24 25 26],There are number0 scissors and number1 pencils in the drawer . Dan placed number2 scissors in the drawer .,How many scissors are now there in total ?,,,108
Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara . How many trout did Melanie catch ?,[5. 2.],['*' 'number0' 'number1'],10.0,[ 7  8  9 12 13 14 24 25 26],Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara .,How many trout did Melanie catch ?,,,109
Cade had number0 marbles . He gave number1 to Dylan . How many does he have left ?,[87.  8.],['-' 'number0' 'number1'],79.0,[ 1  2  3  6  7  8 14 15 16],Cade had number0 marbles . He gave number1 to Dylan .,How many does he have left ?,,,110
"Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed number0 ounce , the purple ring weighed number1 ounce , and the white ring weighed number2 ounce . What was the total weight of the plastic rings ?",[0.08333333 0.33333333 0.41666667],['+' '+' 'number0' 'number1' 'number2'],0.8333333333333334,[17 18 19 24 25 26 32 33 34 42 43 44],"Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed number0 ounce , the purple ring weighed number1 ounce , and the white ring weighed number2 ounce .",What was the total weight of the plastic rings ?,,,111
A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount how many would each person get ?,[ 3.  8. 10.],['/' '+' 'number1' 'number2' 'number0'],6.0,[ 2  3  4 13 14 15 19 20 21 36 37 38],A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount,how many would each person get ?,,,112
